BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,358.78716999999995,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,447.084924,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,353.090258,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,417.05767,2
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,358.021122,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a lot,Agree a little,About half the lessons,Disagree a lot,Disagree a lot,358.54818800000004,1
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,471.0239,2
No,None or very few (0–10 books),Disagree a lot,Agree a lot,A few times a year,Disagree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,348.444068,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,420.620552,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,322.147934,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,421.782552,2
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Disagree a little,Never,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,264.043316,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,387.836324,1
No,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,433.67585,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,390.406788,1
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,Never,Agree a lot,Disagree a little,About half the lessons,Agree a lot,Agree a little,434.247808,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,336.00039400000003,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,423.255592,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,482.349858,3
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Disagree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,352.14785,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,383.6845,1
No,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,388.888022,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,450.35711,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,325.114028,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,370.888782,1
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,366.200356,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Never,Agree a little,Agree a lot,Never,Agree a little,Disagree a lot,388.2852380000001,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,347.846402,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,418.190606,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,452.0332179999999,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,345.527754,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,371.514594,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,408.869128,2
No,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a little,Some lessons,Agree a little,Disagree a little,304.66693999999995,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,480.991028,3
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,558.885256,4
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,488.7348639999999,3
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,390.851126,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,395.377104,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,439.037718,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,442.901228,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Some lessons,Agree a lot,Agree a lot,358.045914,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,358.161248,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,390.7607980000001,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,371.16334000000006,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Agree a lot,415.769216,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,467.283256,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,509.4247820000001,3
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a little,420.430782,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,412.977942,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,452.91471200000007,2
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Disagree a little,Disagree a lot,392.070614,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,442.661276,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,348.15438800000004,1
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a little,A few times a year,Agree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,439.080658,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,375.48887,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,393.491218,1
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Disagree a little,Disagree a little,Every or almost every lesson,Disagree a little,Disagree a lot,361.666214,1
No,None or very few (0–10 books),Disagree a little,Agree a little,A few times a year,Disagree a little,Agree a little,Every or almost every lesson,Disagree a little,Agree a little,371.52372600000007,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a little,459.781588,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,445.993322,2
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,At least once a week,Disagree a little,Agree a lot,Never,Disagree a lot,Agree a little,357.442086,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Once or twice a month,Disagree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Agree a little,416.4827,2
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a little,442.11614,2
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,A few times a year,Disagree a lot,Agree a little,Some lessons,Agree a little,Agree a little,399.884696,1
Yes,Enough to fill three or more bookcases (more than 200),Disagree a little,Agree a lot,Never,Disagree a little,Agree a lot,Never,Agree a lot,Agree a lot,499.15210400000007,3
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,524.4772839999999,3
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,439.604984,2
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,A few times a year,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,484.03516,3
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,426.952452,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a lot,A few times a year,Disagree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,491.873774,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Never,Disagree a lot,Agree a little,368.60757,1
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a little,445.4066059999999,2
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,355.438054,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,440.058556,2
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a lot,450.538776,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,500.934796,3
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,460.26468399999993,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Disagree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,391.196,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Never,Agree a little,Agree a lot,432.0371300000001,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Disagree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,400.34098000000006,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,408.740598,2
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Disagree a little,A few times a year,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,414.349702,2
Yes,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Disagree a lot,About half the lessons,Agree a lot,Agree a lot,387.632784,1
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a little,Never,Disagree a lot,Agree a lot,338.805424,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,331.564474,1
No,None or very few (0–10 books),Agree a little,Disagree a lot,Once or twice a month,Disagree a lot,Agree a little,About half the lessons,Disagree a lot,Disagree a little,356.754538,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,504.612038,3
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a little,372.266032,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,About half the lessons,Disagree a lot,Agree a lot,324.65763200000004,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,319.603094,1
No,None or very few (0–10 books),Agree a little,Disagree a little,A few times a year,Agree a lot,Disagree a little,About half the lessons,Agree a little,Agree a lot,427.6492119999999,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,401.409722,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,514.31828,3
